#va	size	idbname	ported	port_syms	attempted	att_syms
0x22c020	0x68	sub_22C020	REF	menuback:-,menuconfig:-,menuconfig:-	-	-
0x22c088	0x78	sub_22C088	REF	menuback:-	-	-
0x22c100	0x8c	sub_22C100	REF	menuback:-,menuconfig:-	-	-
0x22c190	0x94	sub_22C190	REF	menuback:-	Y	drawFullScreenBlit
0x22c228	0x78	(ida-missed)	-	-	-	-
0x22c2a0	0x120	sub_22C2A0	REF	menuback:-,menuconfig:-	-	-
0x22c3c0	0x120	sub_22C3C0	REF	menuback:-	-	-
0x22c4e0	0x3a8	sub_22C4E0	-	-	-	-
0x22c888	0x98	sub_22C888	DEFN	menuconfig:MeshFresnel	-	-
0x22c920	0x148	sub_22C920	REF	menuconfig:-	-	-
0x22ca68	0xf0	sub_22CA68	REF	menuconfig:-	-	-
0x22cb58	0x190	sub_22CB58	REF	menuconfig:-	-	-
0x22cce8	0x8c	sub_22CCE8	-	-	-	-
0x22cd78	0x230	sub_22CD78	REF	menuconfig:-	-	-
0x22cfa8	0x2f0	sub_22CFA8	REF	menu:-,menuconfig:-	-	-
0x22d298	0x50	sub_22D298	-	-	-	-
0x22d2e8	0x4ac	sub_22D2E8	REF	menuconfig:-,menuconfig:-	-	-
0x22d798	0x184	sub_22D798	REF	menuconfig:-	-	-
0x22d920	0xb04	sub_22D920	REF	menuconfig:-,menuconfig:-	-	-
0x22e428	0x838	sub_22E428	-	-	-	-
0x22ec60	0xb0	sub_22EC60	REF	menuconfig:-	-	-
0x22ed10	0xc	sub_22ED10	-	-	-	-
0x22ed20	0xe0	sub_22ED20	REF	menu:-	-	-
0x22ee00	0x88	sendDma	-	-	-	-
0x22ee88	0xc	sub_22EE88	-	-	-	-
0x22ee98	0x98	sub_22EE98	REF	menu:-	-	-
0x22ef30	0x5c	sub_22EF30	-	-	-	-
0x22ef90	0x5c	sub_22EF90	-	-	-	-
0x22eff0	0xe94	sub_22EFF0	REF	menu:-	-	-
0x22fe88	0x34	sub_22FE88	REF	menu:-	-	-
0x22fec0	0xac	sub_22FEC0	DEFN	menu:PushTrail	-	-
0x22ff70	0xa8	sub_22FF70	-	-	-	-
